OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
3247,2011,FORD,,VAN,WHI,,Sunday,Y,Carlington,Ward 16 - River,Sector 21,3/29/2021 5:00:00 AM,3/28/2021 5:00:00 AM,2021,"CHURCHILL AVE, LAPERRIERE AVE",Central,5050022.00,Night,Riley Brockington,700,200,363934.0686,5026588.6035
3248,,,,,,2000,Tuesday,N,Carp,Ward 5 - West Carleton-March,Sector 11,5/20/2020 5:00:00 AM,5/19/2020 5:00:00 AM,2020,"JOHN SHAW RD, DONALD B. MUNRO DR",West,5050300.00,Afternoon,Clarke Kelly,1800,1600,334656.0966,5024013.633
3249,2019,TOYT,TAC,PICKUP,BLK,,Thursday,N,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Sector 25,9/2/2021 5:00:00 AM,8/19/2021 5:00:00 AM,2021,"MARGUERITE AVE, ONTARIO ST",Central,5050013.00,Afternoon,Rawlson King,1800,1200,370071.9047,5032326.5773
3250,2008,FORD,F15,PICKUP,WHI,,Wednesday,Y,Cumberland,Ward 1 - Orléans East-Cumberland,Sector 37,5/20/2020 5:00:00 AM,5/20/2020 5:00:00 AM,2020,"COX COUNTRY KENNY RD, WILHAVEN DR",East,5050171.06,Afternoon,Matthew Luloff,1700,1500,386931.9549,5039980.5675
3251,,EBIK,,OTHER,SIL,1000,Thursday,N,Centretown,Ward 14 - Somerset,Sector 23,3/29/2021 5:00:00 AM,3/25/2021 5:00:00 AM,2021,"BANK ST, MCLEOD ST",Central,5050038.00,Evening,Ariel Troster,1600,1800,367949.498,5030487.6107
3252,2019,JEEP,GCH,CARRY,PLE,35000,Wednesday,Y,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Ward 4 - Kanata North,Sector 13,9/2/2021 5:00:00 AM,9/1/2021 5:00:00 AM,2021,"INGERSOLL CRES, INGERSOLL CRES",West,5050160.03,Evening,Cathy Curry,700,2100,349196.7947,5019476.5062
3253,2016,KIA,OPT,4DR,RED,,Wednesday,N,Hunt Club Park,Ward 10 - Gloucester-Southgate,Sector 33,5/21/2020 5:00:00 AM,5/20/2020 5:00:00 AM,2020,"BLOHM DR, WALLACK PRIV N",East,5050001.07,Night,Jessica Bradley,1300,300,373682.9299,5026043.5234
3254,2005,DEER,,OTHER,YEL,100000,Monday,N,Munster,Ward 21 - Rideau-Jock,Sector 12,3/30/2021 5:00:00 AM,3/29/2021 5:00:00 AM,2021,"FERNBANK RD, JINKINSON RD",West,5050151.09,Evening,David Brown,900,1800,345895.73,5007660.4004
3255,2021,JEEP,GCH,CARRY,GRY,63000,Wednesday,Y,Beaverbrook,Ward 4 - Kanata North,Sector 13,9/2/2021 5:00:00 AM,9/1/2021 5:00:00 AM,2021,"JACKSON CRT, JACKSON CRT, JACKSON CRT",West,5050160.02,Evening,Cathy Curry,700,1900,351314.8114,5021629.4868
3256,2008,HOND,CRV,CARRY,RED,,Thursday,Y,West Centertown,Ward 17 - Capital,Sector 22,5/21/2020 5:00:00 AM,5/21/2020 5:00:00 AM,2020,"CAMBRIDGE ST S, CLEMOW AVE",Central,5050035.00,Morning,Shawn Menard,700,700,367325.899,5029339.554
3257,2017,AUDI,AQ5,CARRY,BLU,,Tuesday,Y,Glen Cairn - Kanata South Business Park,Ward 6 - Stittsville,Sector 13,3/30/2021 5:00:00 AM,3/30/2021 5:00:00 AM,2021,"COPE DR,ROUNCEY RD",West,5050162.01,Night,Glen Gower,900,200,353515.1209,5014943.7292
3258,,,,,,,Monday,Y,Galetta,Ward 5 - West Carleton-March,Sector 11,9/2/2021 5:00:00 AM,8/30/2021 5:00:00 AM,2021,"KINGDON MINE RD, LOGGERS WAY",West,5050301.00,Afternoon,Clarke Kelly,1900,1400,323955.7527,5033730.6716
3259,2015,TOYT,PRI,4DR,WHI,,Tuesday,Y,Carson Grove - Carson Meadows,Ward 11 - Beacon Hill-Cyrville,Sector 32,3/30/2021 5:00:00 AM,3/30/2021 5:00:00 AM,2021,"MATHESON RD, SUNWOOD CRES N",East,5050122.03,Night,Tim Tierney,600,400,373314.534,5032693.9223
3260,2021,HYUN,SAN,CARRY,SIL,,Tuesday,Y,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Sector 25,9/2/2021 5:00:00 AM,3/9/2021 5:00:00 AM,2021,"GLYNN AVE, LOLA ST",Central,5050012.00,,Rawlson King,1200,,371114.9084,5032185.5742
3261,2008,MAZD,M3I,4DR,GRY,,Wednesday,Y,Briar Green - Leslie Park,Ward 8 - College,Sector 15,3/31/2021 5:00:00 AM,3/31/2021 5:00:00 AM,2021,"BASELINE RD, RICHMOND RD, HWY 416 RICHMOND IC75R53",West,5050141.14,Morning,Laine Johnson,1100,1100,358635.8572,5021820.4885
3262,2020,JEEP,GCH,CARRY,BLK,,Wednesday,Y,Katimavik - Hazeldean,Ward 4 - Kanata North,Sector 13,9/2/2021 5:00:00 AM,9/1/2021 5:00:00 AM,2021,"BISHOPS MILLS DR, EDENVALE DR",West,5050160.06,Evening,Cathy Curry,1300,2100,352358.9023,5020209.1139
3263,2006,MITS,OUT,,RED,,Thursday,N,Byward Market,Ward 12 - Rideau-Vanier,Sector 24,4/2/2021 5:00:00 AM,4/1/2021 5:00:00 AM,2021,"CUMBERLAND ST, YORK ST",Central,5050054.00,Evening,Stéphanie Plante,100,2200,368254.4319,5032537.0754
3264,2019,LEXS,NXT,CARRY,BLK,,Friday,Y,Katimavik - Hazeldean,Ward 23 - Kanata South,Sector 13,9/3/2021 5:00:00 AM,9/3/2021 5:00:00 AM,2021,"BEAUFORT DR, BRODEUR CRES N",West,5050160.04,Night,Allan Hubley,800,400,352606.8152,5019538.468
3265,2009,AUDI,A42,4DR,GRY,,Friday,Y,Glebe - Dows Lake,Ward 17 - Capital,Sector 22,4/2/2021 5:00:00 AM,4/2/2021 5:00:00 AM,2021,"ERNIE BRADY LANE, MONK ST",Central,5050018.00,Night,Shawn Menard,200,200,368476.9769,5029046.1889
3266,2017,LEXS,NX3,CARRY,GRY,,Thursday,N,Stittsville,Ward 6 - Stittsville,Sector 13,9/3/2021 5:00:00 AM,9/2/2021 5:00:00 AM,2021,"FRANKLIN CATHCART CRES,WEST RIDGE DR,BIRCHLAND CRES",West,5050151.06,Evening,Glen Gower,700,1900,349867.1495,5012356.8224
