OBJECTID,ID,Reported Date,Reported Hour,Reported Year,Occurred Date,Occurred Hour,Occurred Year,Time of Day,Weekday,Day of Week,Neighbourhood,Sector,Division,Ward,Councillor,Census Tract,Level of Injury,x,y
240,11626,8/21/2020 5:00:00 AM,100,2020,8/21/2020 5:00:00 AM,0,2020,Night,Friday,5,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,FATAL,359944.677000001,5024259.01059946
241,6814,9/18/2023 5:00:00 AM,0,2023,9/18/2023 5:00:00 AM,0,2023,Night,Monday,1,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050028.00,,360123.895100002,5023334.48709946
242,6814,9/18/2023 5:00:00 AM,1800,2023,9/18/2023 5:00:00 AM,900,2023,Morning,Monday,1,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050028.00,,360123.895100002,5023334.48709946
243,12880,8/5/2020 5:00:00 AM,700,2020,8/5/2020 5:00:00 AM,700,2020,Morning,Wednesday,3,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,NONE,359558.671000002,5024103.51209946
244,7258,6/29/2020 5:00:00 AM,200,2020,6/29/2020 5:00:00 AM,2100,2020,Evening,Monday,1,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050028.00,NONE,360220.707700002,5023371.53939946
245,12880,6/19/2023 5:00:00 AM,200,2023,6/19/2023 5:00:00 AM,2000,2023,Evening,Monday,1,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,,359558.671000002,5024103.51209946
246,5203,7/28/2020 5:00:00 AM,400,2020,7/28/2020 5:00:00 AM,400,2020,Night,Tuesday,2,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050028.00,NONE,360127.621000002,5024325.28249946
247,7258,1/5/2019 5:00:00 AM,400,2019,1/5/2019 5:00:00 AM,400,2019,Night,Saturday,6,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050028.00,NONE,360220.707700002,5023371.53939946
248,12764,9/18/2023 5:00:00 AM,900,2023,9/18/2023 5:00:00 AM,900,2023,Morning,Monday,1,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050028.00,,360218.930999999,5023567.32109946
249,6814,11/1/2023 5:00:00 AM,800,2023,11/1/2023 5:00:00 AM,700,2023,Morning,Wednesday,3,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050028.00,,360123.895100002,5023334.48709946
250,7258,9/27/2021 5:00:00 AM,1800,2021,9/27/2021 5:00:00 AM,1800,2021,Evening,Monday,1,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050028.00,,360220.707700002,5023371.53939946
251,7255,5/25/2018 5:00:00 AM,200,2018,5/25/2018 5:00:00 AM,2200,2018,Evening,Friday,5,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,MAJOR,359528.370300001,5024413.96429946
252,7258,7/10/2019 5:00:00 AM,600,2019,7/10/2019 5:00:00 AM,500,2019,Night,Wednesday,3,Whitehaven - Queensway Terrace North,14,West,Ward 7 - Bay,Theresa Kavanagh,5050028.00,NONE,360220.707700002,5023371.53939946
253,6255,7/13/2021 5:00:00 AM,500,2021,7/13/2021 5:00:00 AM,500,2021,Night,Tuesday,2,Hawthorne Meadows - Sheffield Glen,33,East,Ward 18 - Alta Vista,Marty Carr,5050010.00,NONE,373800.548700003,5029100.07909946
254,6255,5/5/2018 5:00:00 AM,300,2018,5/5/2018 5:00:00 AM,300,2018,Night,Saturday,6,Hawthorne Meadows - Sheffield Glen,33,East,Ward 18 - Alta Vista,Marty Carr,5050010.00,NONE,373800.548700003,5029100.07909946
255,9160,5/24/2023 5:00:00 AM,1700,2023,5/24/2023 5:00:00 AM,1700,2023,Afternoon,Wednesday,3,Hawthorne Meadows - Sheffield Glen,33,East,Ward 18 - Alta Vista,Marty Carr,5050010.00,,374155.735900006,5028299.54189946
256,6255,1/24/2018 5:00:00 AM,200,2018,1/24/2018 5:00:00 AM,2300,2018,Evening,Wednesday,3,Hawthorne Meadows - Sheffield Glen,33,East,Ward 18 - Alta Vista,Marty Carr,5050010.00,MAJOR,373800.548700003,5029100.07909946
257,7659,9/16/2021 5:00:00 AM,200,2021,9/16/2021 5:00:00 AM,2100,2021,Evening,Thursday,4,Hawthorne Meadows - Sheffield Glen,33,East,Ward 18 - Alta Vista,Marty Carr,5050010.00,NONE,374458.197100005,5028634.35969946
258,6255,6/7/2022 5:00:00 AM,200,2022,6/7/2022 5:00:00 AM,2000,2022,Evening,Tuesday,2,Hawthorne Meadows - Sheffield Glen,33,East,Ward 18 - Alta Vista,Marty Carr,5050010.00,,373800.548700003,5029100.07909946
259,8427,5/5/2018 5:00:00 AM,1700,2018,5/5/2018 5:00:00 AM,1700,2018,Afternoon,Saturday,6,Hawthorne Meadows - Sheffield Glen,33,East,Ward 18 - Alta Vista,Marty Carr,5050010.00,NONE,373685.948600004,5028888.48309946
260,5272,9/23/2019 5:00:00 AM,0,2019,9/23/2019 5:00:00 AM,0,2019,Night,Monday,1,Hawthorne Meadows - Sheffield Glen,33,East,Ward 18 - Alta Vista,Marty Carr,5050010.00,NONE,373498.732100004,5029149.54899946
261,13389,9/19/2022 5:00:00 AM,1800,2022,9/19/2022 5:00:00 AM,1800,2022,Evening,Monday,1,CFB Rockcliffe-NRC,32,East,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050060.00,,371754.712900002,5034344.59699946
262,9730,1/10/2018 5:00:00 AM,1900,2018,1/10/2018 5:00:00 AM,1900,2018,Evening,Wednesday,3,Rockcliffe - Manor Park,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050059.00,,371100.709000003,5034891.60409946
263,12146,3/25/2020 5:00:00 AM,1500,2020,3/25/2020 5:00:00 AM,1100,2020,Morning,Wednesday,3,Carleton Heights - Rideauview,17,West,Ward 16 - River,Riley Brockington,5050020.01,,366849.824100003,5025638.29099946
264,8705,3/31/2018 5:00:00 AM,200,2018,3/31/2018 5:00:00 AM,2000,2018,Evening,Saturday,6,Carleton Heights - Rideauview,17,West,Ward 16 - River,Riley Brockington,5050020.01,,367041.707900002,5025860.52899946
265,8438,12/28/2019 5:00:00 AM,500,2019,12/28/2019 5:00:00 AM,500,2019,Night,Saturday,6,Carleton Heights - Rideauview,17,West,Ward 16 - River,Riley Brockington,5050020.01,,367215.159300003,5025588.92829946
266,8438,12/7/2019 5:00:00 AM,1900,2019,12/7/2019 5:00:00 AM,1900,2019,Evening,Saturday,6,Carleton Heights - Rideauview,17,West,Ward 16 - River,Riley Brockington,5050020.01,,367215.159300003,5025588.92829946
267,6013,9/2/2023 5:00:00 AM,200,2023,9/2/2023 5:00:00 AM,2200,2023,Evening,Saturday,6,Hunt Club - Ottawa Airport,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050127.00,,370029.761900004,5022883.40899946
268,12675,5/18/2021 5:00:00 AM,600,2021,5/18/2021 5:00:00 AM,500,2021,Night,Tuesday,2,Hunt Club - Ottawa Airport,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050002.06,UNKNOWN,368809.437000003,5022148.30709946
269,4661,1/31/2019 5:00:00 AM,200,2019,1/31/2019 5:00:00 AM,2000,2019,Evening,Thursday,4,Cummings,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.03,MAJOR,373014.728500004,5032119.54829946
270,251,6/17/2023 5:00:00 AM,900,2023,6/17/2023 5:00:00 AM,900,2023,Morning,Saturday,6,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.00,,370423.712100003,5032510.58299946
271,9192,10/18/2020 5:00:00 AM,200,2020,10/18/2020 5:00:00 AM,2200,2020,Evening,Sunday,7,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,MINOR,371360.715900005,5032388.57999946
272,1755,2/1/2018 5:00:00 AM,1800,2018,2/1/2018 5:00:00 AM,1800,2018,Evening,Thursday,4,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,,371325.717000004,5032137.57809946
273,2594,8/30/2019 5:00:00 AM,100,2019,8/30/2019 5:00:00 AM,100,2019,Night,Friday,5,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.00,,370744.715100003,5031929.57699946
274,13357,12/11/2023 5:00:00 AM,700,2023,12/11/2023 5:00:00 AM,700,2023,Morning,Monday,1,CFB Rockcliffe-NRC,32,East,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050061.00,,371594.359800004,5033694.14259946
275,13525,7/2/2023 5:00:00 AM,200,2023,7/1/2023 5:00:00 AM,2100,2023,Evening,Saturday,6,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,,371512.717000004,5032232.57809946
276,4495,3/3/2018 5:00:00 AM,200,2018,3/3/2018 5:00:00 AM,100,2018,Night,Saturday,6,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.00,MAJOR,370994.820300003,5031848.36109946
277,11129,6/10/2020 5:00:00 AM,800,2020,6/9/2020 5:00:00 AM,2000,2020,Evening,Tuesday,2,Cummings,32,East,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050061.00,,372336.718100002,5033017.58299946
278,12329,1/15/2022 5:00:00 AM,200,2022,1/15/2022 5:00:00 AM,2200,2022,Evening,Saturday,6,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,MAJOR,371129.715900003,5032044.57699946
279,11132,7/5/2023 5:00:00 AM,0,2023,7/5/2023 5:00:00 AM,0,2023,Night,Wednesday,3,Cummings,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050012.00,,372217.870800002,5032177.97189946
280,9558,1/12/2019 5:00:00 AM,700,2019,1/12/2019 5:00:00 AM,700,2019,Morning,Saturday,6,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.00,NONE,370735.715100003,5031998.57809946
281,1077,1/5/2018 5:00:00 AM,1900,2018,1/5/2018 5:00:00 AM,1900,2018,Evening,Friday,5,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,,371527.717000004,5032159.57699946
282,2662,3/5/2022 5:00:00 AM,1800,2022,3/5/2022 5:00:00 AM,1800,2022,Evening,Saturday,6,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,NONE,371200.957000004,5032202.81999946
283,7662,5/1/2020 5:00:00 AM,200,2020,5/1/2020 5:00:00 AM,2200,2020,Evening,Friday,5,Cummings,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.01,MAJOR,372564.721100003,5032241.57589946
284,2662,2/27/2023 5:00:00 AM,200,2023,2/27/2023 5:00:00 AM,2000,2023,Evening,Monday,1,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,,371200.957000004,5032202.81999946
285,10176,7/22/2021 5:00:00 AM,,2021,7/22/2021 5:00:00 AM,,2021,,Thursday,4,Cummings,32,East,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050061.00,NONE,371947.715100003,5033628.58989946
286,12329,11/8/2018 5:00:00 AM,1800,2018,11/8/2018 5:00:00 AM,1800,2018,Evening,Thursday,4,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.00,,371129.715900003,5032044.57699946
287,6221,4/3/2021 5:00:00 AM,1700,2021,4/3/2021 5:00:00 AM,1700,2021,Afternoon,Saturday,6,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,NONE,372080.734700003,5031933.45589946
288,7837,9/30/2023 5:00:00 AM,200,2023,9/30/2023 5:00:00 AM,200,2023,Night,Saturday,6,East Industrial,33,East,Ward 18 - Alta Vista,Marty Carr,5050011.01,,372349.838300004,5030664.10589946
289,5346,10/7/2023 5:00:00 AM,1900,2023,10/7/2023 5:00:00 AM,1900,2023,Evening,Saturday,6,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,,371179.715900005,5032368.57999946
290,3891,12/24/2020 5:00:00 AM,1400,2020,12/24/2020 5:00:00 AM,1400,2020,Afternoon,Thursday,4,Cummings,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.01,,372412.720000004,5032504.57889946
291,5654,11/24/2020 5:00:00 AM,1300,2020,11/24/2020 5:00:00 AM,1300,2020,Afternoon,Tuesday,2,Cummings,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.01,,372453.721100005,5032005.57399946
292,1759,10/2/2021 5:00:00 AM,200,2021,10/2/2021 5:00:00 AM,2300,2021,Evening,Saturday,6,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,NONE,371535.718100004,5032089.57699946
293,12329,7/2/2019 5:00:00 AM,200,2019,7/2/2019 5:00:00 AM,2100,2019,Evening,Tuesday,2,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.00,MAJOR,371129.715900003,5032044.57699946
294,1842,6/1/2020 5:00:00 AM,1700,2020,6/1/2020 5:00:00 AM,1700,2020,Afternoon,Monday,1,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.00,MINOR,370900.715100003,5032336.57999946
295,9460,9/23/2023 5:00:00 AM,200,2023,9/23/2023 5:00:00 AM,2300,2023,Evening,Saturday,6,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.00,,370737.715100003,5031787.57589946
296,7837,7/5/2023 5:00:00 AM,1100,2023,7/2/2023 5:00:00 AM,200,2023,Night,Sunday,7,East Industrial,33,East,Ward 18 - Alta Vista,Marty Carr,5050011.01,,372349.838300004,5030664.10589946
297,9039,3/26/2021 5:00:00 AM,1900,2021,3/26/2021 5:00:00 AM,1900,2021,Evening,Friday,5,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,,372120.720000002,5032152.57589946
298,10239,9/2/2019 5:00:00 AM,1400,2019,9/2/2019 5:00:00 AM,1400,2019,Afternoon,Monday,1,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,,372093.718900004,5032472.57889946
299,2662,5/15/2019 5:00:00 AM,200,2019,5/15/2019 5:00:00 AM,2100,2019,Evening,Wednesday,3,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,,371200.957000004,5032202.81999946
300,12001,10/5/2019 5:00:00 AM,200,2019,10/5/2019 5:00:00 AM,2300,2019,Evening,Saturday,6,Bayshore,14,West,Ward 7 - Bay,Theresa Kavanagh,5050138.00,,358889.807900002,5023215.22489946
301,3661,8/8/2019 5:00:00 AM,0,2019,8/8/2019 5:00:00 AM,0,2019,Night,Thursday,4,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,MINOR,359555.489000001,5024438.92409946
302,7303,10/16/2018 5:00:00 AM,100,2018,10/16/2018 5:00:00 AM,0,2018,Night,Tuesday,2,Bayshore,14,West,Ward 7 - Bay,Theresa Kavanagh,5050138.00,MAJOR,359591.847900002,5023346.69399946
303,5617,8/24/2019 5:00:00 AM,400,2019,8/24/2019 5:00:00 AM,400,2019,Night,Saturday,6,Bayshore,14,West,Ward 7 - Bay,Theresa Kavanagh,5050138.00,MAJOR,359210.669,5024119.51209946
304,6157,4/15/2020 5:00:00 AM,200,2020,4/15/2020 5:00:00 AM,2300,2020,Evening,Wednesday,3,Bayshore,14,West,Ward 7 - Bay,Theresa Kavanagh,5050138.00,,359142.416500002,5023738.96119946
305,20191,10/8/2021 5:00:00 AM,200,2021,10/8/2021 5:00:00 AM,2200,2021,Evening,Friday,5,Bayshore,14,West,Ward 7 - Bay,Theresa Kavanagh,5050138.00,,358675.968500001,5023773.63859946
306,9185,7/27/2020 5:00:00 AM,0,2020,7/27/2020 5:00:00 AM,0,2020,Night,Monday,1,Bayshore,14,West,Ward 7 - Bay,Theresa Kavanagh,5050138.00,NONE,359068.741600002,5023874.64459946
307,11823,6/29/2020 5:00:00 AM,200,2020,6/29/2020 5:00:00 AM,2000,2020,Evening,Monday,1,Bayshore,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,MINOR,359349.669900001,5024210.51209946
308,3661,7/29/2020 5:00:00 AM,100,2020,7/29/2020 5:00:00 AM,100,2020,Night,Wednesday,3,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,,359555.489000001,5024438.92409946
309,3661,7/6/2022 5:00:00 AM,1300,2022,7/6/2022 5:00:00 AM,1300,2022,Afternoon,Wednesday,3,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,MAJOR,359555.489000001,5024438.92409946
310,3661,7/25/2020 5:00:00 AM,200,2020,7/25/2020 5:00:00 AM,2300,2020,Evening,Saturday,6,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,NONE,359555.489000001,5024438.92409946
311,3661,6/22/2019 5:00:00 AM,1600,2019,6/22/2019 5:00:00 AM,1600,2019,Afternoon,Saturday,6,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,MAJOR,359555.489000001,5024438.92409946
312,3661,10/29/2018 5:00:00 AM,200,2018,10/29/2018 5:00:00 AM,2300,2018,Evening,Monday,1,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,MAJOR,359555.489000001,5024438.92409946
313,3661,1/14/2019 5:00:00 AM,200,2019,1/14/2019 5:00:00 AM,2000,2019,Evening,Monday,1,Britannia Village,14,West,Ward 7 - Bay,Theresa Kavanagh,5050029.00,MAJOR,359555.489000001,5024438.92409946
314,10642,9/8/2021 5:00:00 AM,1400,2021,8/18/2021 5:00:00 AM,0,2021,Night,Wednesday,3,New Barrhaven - New Development - Stonebridge,16,West,Ward 24 - Barrhaven East,Wilson Lo,5050141.10,,365409.384100003,5015667.40489946
315,12613,10/20/2018 5:00:00 AM,900,2018,10/20/2018 5:00:00 AM,100,2018,Night,Saturday,6,Barrhaven,16,West,Ward 3 - Barrhaven West,David Hill,5050140.05,,363746.684899999,5015016.43399946
316,9090,10/8/2019 5:00:00 AM,1800,2019,10/8/2019 5:00:00 AM,1800,2019,Evening,Tuesday,2,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,MAJOR,375045.401100003,5026242.21399946
317,433,7/2/2018 5:00:00 AM,200,2018,7/2/2018 5:00:00 AM,100,2018,Night,Monday,1,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,MAJOR,375084.499900005,5026264.87499946
318,6673,11/27/2019 5:00:00 AM,1600,2019,11/27/2019 5:00:00 AM,1600,2019,Afternoon,Wednesday,3,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,FATAL,373975.221900004,5025768.62899946
319,1877,3/22/2018 5:00:00 AM,100,2018,3/22/2018 5:00:00 AM,100,2018,Night,Thursday,4,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.08,MAJOR,374469.741100005,5026538.52899946
320,9372,11/29/2018 5:00:00 AM,200,2018,11/29/2018 5:00:00 AM,2200,2018,Evening,Thursday,4,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,MAJOR,374173.741100003,5025882.52489946
321,11938,5/24/2019 5:00:00 AM,0,2019,5/23/2019 5:00:00 AM,2300,2019,Evening,Thursday,4,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.08,,375271.744900006,5026437.52709946
322,2189,5/15/2021 5:00:00 AM,1300,2021,5/15/2021 5:00:00 AM,1300,2021,Afternoon,Saturday,6,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,,373752.738100004,5026181.52709946
323,3720,7/13/2019 5:00:00 AM,200,2019,7/13/2019 5:00:00 AM,2000,2019,Evening,Saturday,6,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,MINOR,373959.470100006,5025809.61509946
324,11938,6/21/2018 5:00:00 AM,200,2018,6/21/2018 5:00:00 AM,2200,2018,Evening,Thursday,4,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.08,MINOR,375271.744900006,5026437.52709946
325,10745,7/21/2022 5:00:00 AM,200,2022,7/21/2022 5:00:00 AM,2200,2022,Evening,Thursday,4,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.08,MAJOR,373775.738100005,5026287.52789946
326,3030,10/8/2023 5:00:00 AM,200,2023,10/8/2023 5:00:00 AM,2300,2023,Evening,Sunday,7,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,,373876.738900005,5026254.52789946
327,461,9/14/2019 5:00:00 AM,300,2019,9/14/2019 5:00:00 AM,300,2019,Night,Saturday,6,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,,373684.738100005,5025945.52599946
328,9090,9/25/2018 5:00:00 AM,200,2018,9/25/2018 5:00:00 AM,2100,2018,Evening,Tuesday,2,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.07,MINOR,375045.401100003,5026242.21399946
329,2361,12/27/2019 5:00:00 AM,700,2019,12/27/2019 5:00:00 AM,400,2019,Night,Friday,5,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,,368601.704900002,5032846.58899946
330,5502,7/6/2019 5:00:00 AM,600,2019,7/6/2019 5:00:00 AM,400,2019,Night,Saturday,6,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,,368516.704100003,5032987.59099946
331,2361,8/10/2021 5:00:00 AM,200,2021,8/10/2021 5:00:00 AM,2200,2021,Evening,Tuesday,2,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,FATAL,368601.704900002,5032846.58899946
332,2361,7/26/2019 5:00:00 AM,200,2019,7/26/2019 5:00:00 AM,100,2019,Night,Friday,5,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,NONE,368601.704900002,5032846.58899946
333,2361,1/8/2021 5:00:00 AM,200,2021,1/8/2021 5:00:00 AM,2300,2021,Evening,Friday,5,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,,368601.704900002,5032846.58899946
334,41302,7/5/2021 5:00:00 AM,100,2021,7/4/2021 5:00:00 AM,100,2021,Night,Sunday,7,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050053.00,MAJOR,368822.560900001,5032743.35919946
335,2361,5/30/2019 5:00:00 AM,200,2019,5/30/2019 5:00:00 AM,2300,2019,Evening,Thursday,4,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,MAJOR,368601.704900002,5032846.58899946
336,872,10/11/2022 5:00:00 AM,1500,2022,10/11/2022 5:00:00 AM,1500,2022,Afternoon,Tuesday,2,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,,368447.704100004,5033226.59289946
337,5502,2/18/2023 5:00:00 AM,200,2023,2/18/2023 5:00:00 AM,2200,2023,Evening,Saturday,6,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,,368516.704100003,5032987.59099946
338,9566,7/17/2023 5:00:00 AM,1500,2023,7/17/2023 5:00:00 AM,1500,2023,Afternoon,Monday,1,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,,368357.593600002,5033014.81969946
339,2342,7/17/2023 5:00:00 AM,1600,2023,7/17/2023 5:00:00 AM,1600,2023,Afternoon,Monday,1,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,,368436.704100002,5032843.58899946
340,2361,3/15/2021 5:00:00 AM,200,2021,3/15/2021 5:00:00 AM,2200,2021,Evening,Monday,1,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,NONE,368601.704900002,5032846.58899946
341,481,7/16/2022 5:00:00 AM,200,2022,7/15/2022 5:00:00 AM,2300,2022,Evening,Friday,5,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,FATAL,368482.704900003,5032771.58789946
342,10265,2/14/2023 5:00:00 AM,1800,2023,2/14/2023 5:00:00 AM,1800,2023,Evening,Tuesday,2,Elmvale - Eastway - Riverview - Riverview Park West,33,East,Ward 18 - Alta Vista,Marty Carr,5050011.04,FATAL,371071.720000003,5030273.56189946
343,4121,5/28/2021 5:00:00 AM,1800,2021,5/28/2021 5:00:00 AM,1800,2021,Evening,Friday,5,Elmvale - Eastway - Riverview - Riverview Park West,33,East,Ward 18 - Alta Vista,Marty Carr,5050011.04,MAJOR,370700.504100003,5030197.50849946
344,9990,1/29/2023 5:00:00 AM,200,2023,1/29/2023 5:00:00 AM,200,2023,Night,Sunday,7,Elmvale - Eastway - Riverview - Riverview Park West,33,East,Ward 18 - Alta Vista,Marty Carr,5050011.04,MINOR,371323.721100004,5029885.55889946
345,903,3/24/2021 5:00:00 AM,1800,2021,3/24/2021 5:00:00 AM,1800,2021,Evening,Wednesday,3,Elmvale - Eastway - Riverview - Riverview Park West,33,East,Ward 17 - Capital,Shawn Menard,5050011.03,,370375.401900004,5030346.50789946
346,9990,2/20/2019 5:00:00 AM,200,2019,2/20/2019 5:00:00 AM,200,2019,Night,Wednesday,3,Elmvale - Eastway - Riverview - Riverview Park West,33,East,Ward 18 - Alta Vista,Marty Carr,5050011.04,,371323.721100004,5029885.55889946
347,1978,12/15/2021 5:00:00 AM,200,2021,12/15/2021 5:00:00 AM,2200,2021,Evening,Wednesday,3,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050102.00,MAJOR,370426.710100003,5033462.59209946
348,14587,6/4/2023 5:00:00 AM,200,2023,6/4/2023 5:00:00 AM,2100,2023,Evening,Sunday,7,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050103.00,,369770.707100004,5033817.59589946
349,15013,7/11/2018 5:00:00 AM,0,2018,7/11/2018 5:00:00 AM,0,2018,Night,Wednesday,3,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050104.00,,369301.647800004,5033687.53619946
350,12251,10/21/2019 5:00:00 AM,200,2019,10/21/2019 5:00:00 AM,300,2019,Night,Monday,1,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050104.00,,370140.709000003,5033529.59289946
351,11891,1/16/2019 5:00:00 AM,1800,2019,1/16/2019 5:00:00 AM,1700,2019,Afternoon,Wednesday,3,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050101.00,MAJOR,370098.710100003,5033170.58899946
