OBJECTID,ID,Reported Date,Reported Hour,Reported Year,Occurred Date,Occurred Hour,Occurred Year,Time of Day,Weekday,Day of Week,Neighbourhood,Sector,Division,Ward,Councillor,Census Tract,Level of Injury,x,y
70,3223,4/23/2018 5:00:00 AM,200,2018,4/23/2018 5:00:00 AM,2000,2018,Evening,Monday,1,Crestview - Meadowlands,17,West,Ward 8 - College,Laine Johnson,5050133.00,,364106.143000003,5024351.79099946
71,8675,3/4/2023 5:00:00 AM,200,2023,3/4/2023 5:00:00 AM,2100,2023,Evening,Saturday,6,Crestview - Meadowlands,17,West,Ward 8 - College,Laine Johnson,5050134.00,,364829.740000002,5023090.53889946
72,4030,10/6/2019 5:00:00 AM,200,2019,10/6/2019 5:00:00 AM,200,2019,Night,Sunday,7,Crestview - Meadowlands,17,West,Ward 8 - College,Laine Johnson,5050133.00,NONE,363227.690100002,5023253.50599946
73,1879,8/9/2022 5:00:00 AM,1700,2022,8/9/2022 5:00:00 AM,1700,2022,Afternoon,Tuesday,2,Crestview - Meadowlands,17,West,Ward 8 - College,Laine Johnson,5050133.00,,363829.692900003,5023634.50909946
74,11597,2/18/2023 5:00:00 AM,200,2023,2/18/2023 5:00:00 AM,2000,2023,Evening,Saturday,6,Crestview - Meadowlands,17,West,Ward 8 - College,Laine Johnson,5050133.00,,363933.419000003,5024245.55699946
75,2398,11/15/2019 5:00:00 AM,0,2019,11/13/2019 5:00:00 AM,400,2019,Night,Wednesday,3,Crestview - Meadowlands,17,West,Ward 8 - College,Laine Johnson,5050134.00,,364468.592899999,5023509.07399946
76,7640,11/15/2022 5:00:00 AM,100,2022,11/15/2022 5:00:00 AM,100,2022,Night,Tuesday,2,Crestview - Meadowlands,17,West,Ward 8 - College,Laine Johnson,5050133.00,UNKNOWN,364054.726300002,5024046.48429946
77,7798,10/11/2023 5:00:00 AM,200,2023,10/11/2023 5:00:00 AM,2100,2023,Evening,Wednesday,3,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,31,East,Ward 1 - Orléans East-Cumberland,Matthew Luloff,5050170.08,,383736.182600009,5036677.45529946
78,12321,9/29/2019 5:00:00 AM,200,2019,9/29/2019 5:00:00 AM,2000,2019,Evening,Sunday,7,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,31,East,Ward 1 - Orléans East-Cumberland,Matthew Luloff,5050170.10,MINOR,383281.750100009,5038255.58189946
79,12061,5/29/2021 5:00:00 AM,500,2021,5/29/2021 5:00:00 AM,500,2021,Night,Saturday,6,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,31,East,Ward 1 - Orléans East-Cumberland,Matthew Luloff,5050170.09,,383342.752100009,5037731.57699946
80,12061,4/6/2022 5:00:00 AM,900,2022,4/6/2022 5:00:00 AM,,2022,,Wednesday,3,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,31,East,Ward 1 - Orléans East-Cumberland,Matthew Luloff,5050170.09,,383342.752100009,5037731.57699946
